delivery_year,lda,rsi_1,rsi_3,n_participants,n_pivotal,calendar_year
2022/23,BGE,0.0,0.0,1,1,2022
2022/23,ComEd,0.43,0.36,14,14,2022
2022/23,DEOK,0.0,0.0,1,1,2022
2022/23,EMAAC,1.25,0.64,7,7,2022
2022/23,MAAC,0.69,0.37,25,25,2022
2022/23,RTO,0.81,0.73,130,130,2022
2023/24,BGE,0.0,0.0,1,1,2025
2023/24,DPL South,0.0,0.0,1,1,2025
2023/24,MAAC,0.78,0.4,11,11,2025
2023/24,RTO,0.78,0.68,134,134,2025
2024/25,BGE,0.0,0.0,1,1,2025
2024/25,DEOK,0.0,0.0,1,1,2025
2024/25,DPL South,0.0,0.0,1,1,2025
2024/25,EMAAC,0.48,0.0,2,2,2025
2024/25,MAAC,0.59,0.11,9,9,2025
2024/25,RTO,0.77,0.64,133,133,2025
2025/26,BGE,0.0,0.0,0,0,2025
2025/26,Dominion,0.0,0.0,0,0,2025
2025/26,RTO,0.82,0.62,128,128,2025
2026/27,RTO,0.82,0.64,153,153,2025
2027/28,RTO,0.82,0.63,155,155,2025
