county,real_estate,tangible_personal_property,machinery_and_tools,merchants_capital,notes
Loudoun,0.865,4.150,2.750,0.000,*additional district levies may apply
Fairfax,1.125,4.570,2.000,0.000,*additional district levies may apply
Prince William,0.920,3.700,2.000,0.000,
Arlington,1.033,5.000,5.000,5.000,
Henrico,0.850,3.500,0.300,0.000,*additional district levies may apply
Mecklenburg,0.400,3.360,0.660,0.720,
Chesterfield,0.900,3.350,1.000,0.000,*additional district levies may apply
Fauquier,0.943,3.450,3.450,0.000,
Culpeper,0.470,3.500,2.000,0.000,
Stafford,0.8936,5.720,0.0001,0.500,
Spotsylvania,0.7343,5.370,1.900,0.000,
Wise,0.690,1.650,1.410,2.850,
